Date,España,Colombia
2020-01-22 00:00:00+00:00,0,0
2020-01-23 00:00:00+00:00,0,0
2020-01-24 00:00:00+00:00,0,0
2020-01-25 00:00:00+00:00,0,0
2020-01-26 00:00:00+00:00,0,0
2020-01-27 00:00:00+00:00,0,0
2020-01-28 00:00:00+00:00,0,0
2020-01-29 00:00:00+00:00,0,0
2020-01-30 00:00:00+00:00,0,0
2020-01-31 00:00:00+00:00,0,0
2020-02-01 00:00:00+00:00,1,0
2020-02-02 00:00:00+00:00,1,0
2020-02-03 00:00:00+00:00,1,0
2020-02-04 00:00:00+00:00,1,0
2020-02-05 00:00:00+00:00,1,0
2020-02-06 00:00:00+00:00,1,0
2020-02-07 00:00:00+00:00,1,0
2020-02-08 00:00:00+00:00,1,0
2020-02-09 00:00:00+00:00,2,0
2020-02-10 00:00:00+00:00,2,0
2020-02-11 00:00:00+00:00,2,0
2020-02-12 00:00:00+00:00,2,0
2020-02-13 00:00:00+00:00,2,0
2020-02-14 00:00:00+00:00,2,0
2020-02-15 00:00:00+00:00,2,0
2020-02-16 00:00:00+00:00,2,0
2020-02-17 00:00:00+00:00,2,0
2020-02-18 00:00:00+00:00,2,0
2020-02-19 00:00:00+00:00,2,0
2020-02-20 00:00:00+00:00,2,0
2020-02-21 00:00:00+00:00,2,0
2020-02-22 00:00:00+00:00,2,0
2020-02-23 00:00:00+00:00,2,0
2020-02-24 00:00:00+00:00,2,0
2020-02-25 00:00:00+00:00,6,0
2020-02-26 00:00:00+00:00,13,0
2020-02-27 00:00:00+00:00,15,0
2020-02-28 00:00:00+00:00,32,0
2020-02-29 00:00:00+00:00,45,0
2020-03-01 00:00:00+00:00,84,0
2020-03-02 00:00:00+00:00,120,0
2020-03-03 00:00:00+00:00,165,0
2020-03-04 00:00:00+00:00,222,0
2020-03-05 00:00:00+00:00,259,0
2020-03-06 00:00:00+00:00,400,1
2020-03-07 00:00:00+00:00,500,1
2020-03-08 00:00:00+00:00,673,1
2020-03-09 00:00:00+00:00,1073,1
2020-03-10 00:00:00+00:00,1695,3
2020-03-11 00:00:00+00:00,2277,9
2020-03-12 00:00:00+00:00,2277,9
2020-03-13 00:00:00+00:00,5232,13
2020-03-14 00:00:00+00:00,6391,22
2020-03-15 00:00:00+00:00,7798,34
2020-03-16 00:00:00+00:00,9942,57
2020-03-17 00:00:00+00:00,11748,75
2020-03-18 00:00:00+00:00,13910,102
2020-03-19 00:00:00+00:00,17963,108
2020-03-20 00:00:00+00:00,20410,158
2020-03-21 00:00:00+00:00,25374,196
2020-03-22 00:00:00+00:00,28768,231
2020-03-23 00:00:00+00:00,35136,277
2020-03-24 00:00:00+00:00,39885,378
2020-03-25 00:00:00+00:00,49515,470
2020-03-26 00:00:00+00:00,57786,491
2020-03-27 00:00:00+00:00,65719,539
2020-03-28 00:00:00+00:00,73235,608
2020-03-29 00:00:00+00:00,80110,702
2020-03-30 00:00:00+00:00,87956,798
2020-03-31 00:00:00+00:00,95923,906
2020-04-01 00:00:00+00:00,104118,1065
2020-04-02 00:00:00+00:00,112065,1161
2020-04-03 00:00:00+00:00,119199,1267
2020-04-04 00:00:00+00:00,126168,1406
2020-04-05 00:00:00+00:00,131646,1485
2020-04-06 00:00:00+00:00,136675,1579
2020-04-07 00:00:00+00:00,141942,1780
2020-04-08 00:00:00+00:00,148220,2054
2020-04-09 00:00:00+00:00,153222,2223
2020-04-10 00:00:00+00:00,158273,2473
2020-04-11 00:00:00+00:00,163027,2709
2020-04-12 00:00:00+00:00,166831,2776
2020-04-13 00:00:00+00:00,170099,2852
2020-04-14 00:00:00+00:00,172541,2979
2020-04-15 00:00:00+00:00,177644,3105
2020-04-16 00:00:00+00:00,184948,3233
2020-04-17 00:00:00+00:00,190839,3439
2020-04-18 00:00:00+00:00,191726,3621
2020-04-19 00:00:00+00:00,198674,3792
2020-04-20 00:00:00+00:00,200210,3977
2020-04-21 00:00:00+00:00,204178,4149
2020-04-22 00:00:00+00:00,208389,4356
2020-04-23 00:00:00+00:00,213024,4561
2020-04-24 00:00:00+00:00,202990,4881
2020-04-25 00:00:00+00:00,205905,5142
2020-04-26 00:00:00+00:00,207634,5379
2020-04-27 00:00:00+00:00,209465,5597
2020-04-28 00:00:00+00:00,210773,5949
2020-04-29 00:00:00+00:00,212917,6207
2020-04-30 00:00:00+00:00,213435,6507
2020-05-01 00:00:00+00:00,215216,7006
2020-05-02 00:00:00+00:00,216582,7285
2020-05-03 00:00:00+00:00,217466,7668
2020-05-04 00:00:00+00:00,218011,7973
2020-05-05 00:00:00+00:00,219329,8613
2020-05-06 00:00:00+00:00,220325,8959
2020-05-07 00:00:00+00:00,221447,9456
2020-05-08 00:00:00+00:00,222857,10051
2020-05-09 00:00:00+00:00,223578,10495
2020-05-10 00:00:00+00:00,224350,11063
2020-05-11 00:00:00+00:00,227436,11613
2020-05-12 00:00:00+00:00,228030,12272
2020-05-13 00:00:00+00:00,228691,12930
2020-05-14 00:00:00+00:00,229540,13610
2020-05-15 00:00:00+00:00,230183,14216
2020-05-16 00:00:00+00:00,230698,14939
2020-05-17 00:00:00+00:00,230698,15574
2020-05-18 00:00:00+00:00,231606,16295
2020-05-19 00:00:00+00:00,232037,16935
2020-05-20 00:00:00+00:00,232555,17687
2020-05-21 00:00:00+00:00,233037,18330
2020-05-22 00:00:00+00:00,234824,19131
2020-05-23 00:00:00+00:00,235290,20177
2020-05-24 00:00:00+00:00,235772,21175
2020-05-25 00:00:00+00:00,235400,21981
2020-05-26 00:00:00+00:00,236259,23003
2020-05-27 00:00:00+00:00,236259,24104
2020-05-28 00:00:00+00:00,237906,25366
2020-05-29 00:00:00+00:00,238564,26688
2020-05-30 00:00:00+00:00,239228,28236
2020-05-31 00:00:00+00:00,239479,29383
2020-06-01 00:00:00+00:00,239638,30493
2020-06-02 00:00:00+00:00,239932,31833
2020-06-03 00:00:00+00:00,240326,33354
2020-06-04 00:00:00+00:00,240660,35120
2020-06-05 00:00:00+00:00,240978,36635
2020-06-06 00:00:00+00:00,241310,38027
2020-06-07 00:00:00+00:00,241550,39236
2020-06-08 00:00:00+00:00,241717,40719
2020-06-09 00:00:00+00:00,241966,42078
2020-06-10 00:00:00+00:00,242280,43682
2020-06-11 00:00:00+00:00,242707,45212
2020-06-12 00:00:00+00:00,243209,46858
2020-06-13 00:00:00+00:00,243605,48746
2020-06-14 00:00:00+00:00,243928,50939
2020-06-15 00:00:00+00:00,244109,53063
2020-06-16 00:00:00+00:00,244328,54931
2020-06-17 00:00:00+00:00,244683,57046
2020-06-18 00:00:00+00:00,245268,60217
2020-06-19 00:00:00+00:00,245575,63276
2020-06-20 00:00:00+00:00,245938,65633
2020-06-21 00:00:00+00:00,246272,68652
2020-06-22 00:00:00+00:00,246504,71183
2020-06-23 00:00:00+00:00,246752,73572
2020-06-24 00:00:00+00:00,247086,77113
2020-06-25 00:00:00+00:00,247486,80599
2020-06-26 00:00:00+00:00,247905,84442
2020-06-27 00:00:00+00:00,248469,88591
2020-06-28 00:00:00+00:00,248770,91769
2020-06-29 00:00:00+00:00,248970,95043
2020-06-30 00:00:00+00:00,249271,97846
2020-07-01 00:00:00+00:00,249659,102009
2020-07-02 00:00:00+00:00,250103,106110
2020-07-03 00:00:00+00:00,250545,109505
2020-07-04 00:00:00+00:00,250545,113389
2020-07-05 00:00:00+00:00,250545,117110
2020-07-06 00:00:00+00:00,251789,120281
2020-07-07 00:00:00+00:00,252130,124494
2020-07-08 00:00:00+00:00,252513,128638
2020-07-09 00:00:00+00:00,253056,133973
2020-07-10 00:00:00+00:00,253908,140776
2020-07-11 00:00:00+00:00,253908,145632
2020-07-12 00:00:00+00:00,253908,150445
2020-07-13 00:00:00+00:00,255953,154277
2020-07-14 00:00:00+00:00,256619,159898
2020-07-15 00:00:00+00:00,257494,165169
2020-07-16 00:00:00+00:00,258855,173206
2020-07-17 00:00:00+00:00,260255,182140
2020-07-18 00:00:00+00:00,260255,190700
2020-07-19 00:00:00+00:00,260255,197278
2020-07-20 00:00:00+00:00,264836,204005
2020-07-21 00:00:00+00:00,266194,211038
2020-07-22 00:00:00+00:00,267551,218428
2020-07-23 00:00:00+00:00,270166,226373
2020-07-24 00:00:00+00:00,272421,233541
2020-07-25 00:00:00+00:00,272421,240795
2020-07-26 00:00:00+00:00,272421,248976
2020-07-27 00:00:00+00:00,278782,257101
2020-07-28 00:00:00+00:00,280610,267385
2020-07-29 00:00:00+00:00,282641,276055
2020-07-30 00:00:00+00:00,285430,286020
2020-07-31 00:00:00+00:00,288522,295508
2020-08-01 00:00:00+00:00,288522,306181
2020-08-02 00:00:00+00:00,288522,317651
2020-08-03 00:00:00+00:00,297054,327850
2020-08-04 00:00:00+00:00,302814,334979
2020-08-05 00:00:00+00:00,305767,345714
2020-08-06 00:00:00+00:00,309855,357710
2020-08-07 00:00:00+00:00,314362,367204
2020-08-08 00:00:00+00:00,314362,376870
2020-08-09 00:00:00+00:00,314362,387481
2020-08-10 00:00:00+00:00,322980,397623
2020-08-11 00:00:00+00:00,326612,410453
2020-08-12 00:00:00+00:00,329784,422519
2020-08-13 00:00:00+00:00,337334,433805
2020-08-14 00:00:00+00:00,342813,445111
2020-08-15 00:00:00+00:00,342813,456689
2020-08-16 00:00:00+00:00,342813,468332
2020-08-17 00:00:00+00:00,359082,476660
2020-08-18 00:00:00+00:00,364196,489122
2020-08-19 00:00:00+00:00,370867,502178
2020-08-20 00:00:00+00:00,377906,513719
2020-08-21 00:00:00+00:00,386054,522138
2020-08-22 00:00:00+00:00,386054,533103
2020-08-23 00:00:00+00:00,386054,541139
2020-08-24 00:00:00+00:00,405436,551688
2020-08-25 00:00:00+00:00,412553,562113
2020-08-26 00:00:00+00:00,419849,572243
2020-08-27 00:00:00+00:00,429507,581995
2020-08-28 00:00:00+00:00,439286,590492
2020-08-29 00:00:00+00:00,439286,599884
2020-08-30 00:00:00+00:00,439286,607904
2020-08-31 00:00:00+00:00,462858,615094
2020-09-01 00:00:00+00:00,470973,624026
2020-09-02 00:00:00+00:00,479554,633321
2020-09-03 00:00:00+00:00,488513,641574
2020-09-04 00:00:00+00:00,498989,650063
2020-09-05 00:00:00+00:00,498989,658456
2020-09-06 00:00:00+00:00,498989,666521
2020-09-07 00:00:00+00:00,525549,671848
2020-09-08 00:00:00+00:00,534513,679513
2020-09-09 00:00:00+00:00,543379,686851
2020-09-10 00:00:00+00:00,554143,694664
2020-09-11 00:00:00+00:00,566326,702088
2020-09-12 00:00:00+00:00,566326,708964
2020-09-13 00:00:00+00:00,566326,716319
2020-09-14 00:00:00+00:00,593730,721892
2020-09-15 00:00:00+00:00,603167,728590
2020-09-16 00:00:00+00:00,614360,736377
2020-09-17 00:00:00+00:00,625651,743945
2020-09-18 00:00:00+00:00,640040,750471
2020-09-19 00:00:00+00:00,640040,758398
2020-09-20 00:00:00+00:00,640040,765076
2020-09-21 00:00:00+00:00,671468,770435
2020-09-22 00:00:00+00:00,682267,777537
2020-09-23 00:00:00+00:00,693556,784268
2020-09-24 00:00:00+00:00,704209,790823
2020-09-25 00:00:00+00:00,716481,798317
